RegionID,RegionName,2018-03-1bd,2018-04-1bd,2018-05-1bd,2018-06-1bd,2018-07-1bd,2018-08-1bd,2018-09-1bd,2018-10-1bd,2018-11-1bd,2018-12-1bd,2019-01-1bd,2019-02-1bd,2019-03-1bd,2019-04-1bd,2019-05-1bd,2019-06-1bd,2019-07-1bd,2019-08-1bd,2019-09-1bd,2019-10-1bd,2019-11-1bd,2019-12-1bd,2020-01-1bd,2020-02-1bd,2020-03-1bd,2018-03-2bd,2018-04-2bd,2018-05-2bd,2018-06-2bd,2018-07-2bd,2018-08-2bd,2018-09-2bd,2018-10-2bd,2018-11-2bd,2018-12-2bd,2019-01-2bd,2019-02-2bd,2019-03-2bd,2019-04-2bd,2019-05-2bd,2019-06-2bd,2019-07-2bd,2019-08-2bd,2019-09-2bd,2019-10-2bd,2019-11-2bd,2019-12-2bd,2020-01-2bd,2020-02-2bd,2020-03-2bd,2018-03-3bd,2018-04-3bd,2018-05-3bd,2018-06-3bd,2018-07-3bd,2018-08-3bd,2018-09-3bd,2018-10-3bd,2018-11-3bd,2018-12-3bd,2019-01-3bd,2019-02-3bd,2019-03-3bd,2019-04-3bd,2019-05-3bd,2019-06-3bd,2019-07-3bd,2019-08-3bd,2019-09-3bd,2019-10-3bd,2019-11-3bd,2019-12-3bd,2020-01-3bd,2020-02-3bd,2020-03-3bd
9,California,389104.0,392012.0,394170.0,396119.0,397999.0,399637.0,400481.0,401239.0,401731.0,401450.0,400621.0,399605.0,399031.0,399124.0,399290.0,399503.0,399949.0,400604.0,401758.0,402858.0,404068.0,406004.0,408468.0,411313.0,414067.0,451350.0,454197.0,456278.0,458256.0,460414.0,462127.0,463126.0,463932.0,464613.0,464534.0,463881.0,462757.0,462086.0,462212.0,462595.0,463038.0,463685.0,464712.0,466287.0,467914.0,469608.0,472107.0,475167.0,478892.0,482687.0,504989.0,507626.0,509573.0,511395.0,513539.0,515179.0,516247.0,517069.0,517842.0,517880.0,517493.0,516485.0,515996.0,516268.0,516931.0,517692.0,518589.0,519974.0,521874.0,523934.0,526007.0,528877.0,532205.0,536329.0,540591.0
54,Texas,105131.0,105931.0,106712.0,107442.0,108024.0,108700.0,109201.0,109862.0,110405.0,111239.0,111985.0,112748.0,113161.0,113490.0,113767.0,114205.0,114678.0,115177.0,115813.0,116285.0,116653.0,116733.0,116946.0,117178.0,117671.0,119661.0,120687.0,121689.0,122648.0,123551.0,124525.0,125272.0,126236.0,127115.0,128256.0,129272.0,130242.0,130922.0,131483.0,132058.0,132747.0,133428.0,134106.0,134916.0,135473.0,135945.0,136191.0,136649.0,137122.0,137750.0,176498.0,177634.0,178733.0,179791.0,180765.0,181776.0,182613.0,183569.0,184427.0,185490.0,186533.0,187485.0,188064.0,188468.0,188953.0,189562.0,190235.0,190887.0,191599.0,192142.0,192691.0,193104.0,193582.0,194085.0,194807.0
43,New York,356034.0,357653.0,359142.0,360223.0,361147.0,361933.0,363012.0,364013.0,365160.0,365855.0,366439.0,366612.0,367144.0,367687.0,368171.0,368528.0,368872.0,369362.0,369491.0,369558.0,369476.0,369800.0,369933.0,370185.0,370002.0,169583.0,170174.0,170755.0,171449.0,172314.0,173255.0,174237.0,175055.0,175767.0,176341.0,176930.0,177507.0,178176.0,178756.0,179341.0,179806.0,180188.0,180521.0,180833.0,181255.0,181700.0,182251.0,182737.0,183245.0,183685.0,181370.0,181977.0,182546.0,183236.0,184199.0,185279.0,186333.0,187178.0,187844.0,188399.0,189003.0,189651.0,190388.0,191009.0,191686.0,192225.0,192647.0,193012.0,193414.0,193946.0,194528.0,195191.0,195764.0,196355.0,196892.0
14,Florida,126723.0,127481.0,128233.0,128758.0,129371.0,129894.0,130469.0,130915.0,131598.0,132230.0,132842.0,132939.0,133068.0,133276.0,133611.0,133997.0,134349.0,134664.0,134986.0,135379.0,135693.0,135962.0,136332.0,137013.0,137644.0,169144.0,170322.0,171487.0,172424.0,173266.0,174066.0,174943.0,175792.0,176704.0,177636.0,178524.0,179036.0,179401.0,179756.0,180136.0,180595.0,181152.0,181675.0,182208.0,182776.0,183366.0,183902.0,184605.0,185522.0,186485.0,229277.0,230822.0,232384.0,233677.0,234884.0,236055.0,237284.0,238440.0,239524.0,240638.0,241659.0,242397.0,242838.0,243253.0,243657.0,244188.0,244842.0,245477.0,246135.0,246881.0,247686.0,248455.0,249449.0,250668.0,252016.0
21,Illinois,139254.0,139378.0,139704.0,140137.0,140478.0,140672.0,140978.0,141340.0,141818.0,142164.0,142108.0,142082.0,142238.0,142690.0,143002.0,143203.0,143403.0,143612.0,143730.0,143840.0,143864.0,143913.0,144120.0,144414.0,144701.0,144255.0,144559.0,145012.0,145601.0,146077.0,146474.0,146954.0,147402.0,147805.0,148059.0,148108.0,148358.0,148595.0,148947.0,149155.0,149367.0,149628.0,149829.0,149929.0,150000.0,150075.0,150192.0,150403.0,150550.0,150795.0,185836.0,186184.0,186641.0,187314.0,187805.0,188266.0,188818.0,189342.0,189849.0,190152.0,190282.0,190557.0,190870.0,191271.0,191564.0,191830.0,192178.0,192434.0,192557.0,192632.0,192696.0,192825.0,193021.0,193186.0,193438.0
47,Pennsylvania,117051.0,117746.0,118351.0,118703.0,119074.0,119479.0,119882.0,120281.0,120728.0,121134.0,121533.0,121915.0,122128.0,122371.0,122697.0,123192.0,123621.0,124011.0,124395.0,124845.0,125271.0,125669.0,126094.0,126512.0,126977.0,132949.0,133733.0,134475.0,134930.0,135367.0,135834.0,136348.0,136824.0,137323.0,137756.0,138257.0,138831.0,139219.0,139575.0,139974.0,140555.0,141137.0,141675.0,142162.0,142703.0,143232.0,143792.0,144299.0,144775.0,145262.0,171091.0,172131.0,173112.0,173725.0,174335.0,174944.0,175629.0,176243.0,176960.0,177643.0,178401.0,179099.0,179542.0,179958.0,180484.0,181245.0,182014.0,182753.0,183408.0,184098.0,184736.0,185391.0,185981.0,186613.0,187291.0
44,Ohio,66148.0,66726.0,67305.0,67828.0,68355.0,68781.0,69156.0,69554.0,70049.0,70542.0,71017.0,71408.0,71756.0,72055.0,72327.0,72656.0,73013.0,73418.0,73854.0,74233.0,74548.0,74864.0,75264.0,75704.0,76126.0,89241.0,89947.0,90643.0,91268.0,91861.0,92363.0,92823.0,93293.0,93880.0,94485.0,95137.0,95731.0,96283.0,96712.0,97111.0,97603.0,98152.0,98708.0,99285.0,99804.0,100279.0,100753.0,101299.0,101858.0,102431.0,131822.0,132757.0,133583.0,134351.0,135090.0,135738.0,136326.0,136891.0,137617.0,138365.0,139151.0,139854.0,140554.0,141099.0,141675.0,142319.0,143030.0,143714.0,144422.0,145090.0,145683.0,146274.0,146949.0,147632.0,148302.0
30,Michigan,97716.0,98693.0,99632.0,100623.0,101830.0,102999.0,104059.0,104786.0,105464.0,106253.0,107020.0,107723.0,108135.0,108480.0,108822.0,109268.0,109708.0,110133.0,110532.0,111081.0,111683.0,112266.0,112821.0,113377.0,114166.0,116683.0,117578.0,118399.0,119388.0,120422.0,121453.0,122343.0,123119.0,123830.0,124661.0,125371.0,126084.0,126576.0,127056.0,127515.0,128036.0,128592.0,129120.0,129694.0,130313.0,130986.0,131607.0,132281.0,132944.0,133804.0,159587.0,160585.0,161465.0,162533.0,163568.0,164663.0,165567.0,166448.0,167240.0,168218.0,168995.0,169774.0,170310.0,170872.0,171438.0,172093.0,172843.0,173536.0,174317.0,175094.0,175930.0,176663.0,177461.0,178271.0,179316.0
16,Georgia,169436.0,170580.0,172023.0,173769.0,175343.0,176717.0,177830.0,179235.0,180527.0,181499.0,182185.0,182529.0,182864.0,183470.0,184237.0,184582.0,184798.0,185120.0,185364.0,185400.0,185601.0,185957.0,186430.0,187050.0,187879.0,124538.0,125680.0,126888.0,128142.0,129296.0,130395.0,131431.0,132503.0,133594.0,134554.0,135466.0,136145.0,136953.0,137693.0,138526.0,139131.0,139743.0,140412.0,141071.0,141715.0,142272.0,142916.0,143668.0,144592.0,145466.0,159672.0,160772.0,161952.0,163255.0,164527.0,165734.0,166866.0,168008.0,169171.0,170260.0,171224.0,172023.0,172982.0,173934.0,174913.0,175695.0,176443.0,177246.0,178030.0,178795.0,179451.0,180139.0,180931.0,181860.0,182738.0
36,North Carolina,114267.0,114997.0,115732.0,116562.0,117406.0,118183.0,118896.0,119575.0,120340.0,121117.0,121931.0,122543.0,123210.0,123884.0,124575.0,125141.0,125677.0,126282.0,126923.0,127586.0,128154.0,128659.0,129104.0,129644.0,130152.0,115482.0,116192.0,116907.0,117673.0,118517.0,119317.0,120068.0,120747.0,121503.0,122272.0,123078.0,123743.0,124428.0,125121.0,125835.0,126525.0,127180.0,127860.0,128561.0,129276.0,129944.0,130575.0,131225.0,131958.0,132710.0,172627.0,173475.0,174370.0,175345.0,176484.0,177551.0,178568.0,179416.0,180353.0,181257.0,182240.0,183042.0,183880.0,184767.0,185689.0,186568.0,187400.0,188261.0,189132.0,190049.0,190936.0,191820.0,192654.0,193614.0,194598.0
